добавка,pmid,название,год
Омега-3,42494300,Impact of Omega-3 Fatty Acid Docosahexaenoic Acid Supplementation in Individuals During Pregnancy on Neurodeve,2026
Омега-3,42433395,Baseline omega-3 nutritional status and supplementation response in pediatric attention-deficit/hyperactivity ,2026
Витамин D,42295493,Prevalence of Vitamin D Deficiency in Ataxia-Telangiectasia: A Systematic Review and Single Arm Meta-Analysis.,2026
B12,42227307,"Vitamin B12 supplementation for growth, development, and cognition in children.",2026
Кофеин,42588143,Acute Effects and Safety of Caffeine Ingestion in Adolescent Athletes: A Systematic Review and Three-Level Met,2026
Кофеин,42588052,"Effects of Acute Caffeine Supplementation on Physical, Sport-Specific, Physiological, Perceptual, and Cognitiv",2026
L-Теанин,40314930,Effects of Tea (Camellia sinensis) or its Bioactive Compounds l-Theanine or l-Theanine plus Caffeine on Cognit,2025
L-Теанин,24946991,"Acute effects of tea constituents L-theanine, caffeine, and epigallocatechin gallate on cognitive function and",2014
Бакопа,41678913,Comparative effects of Bacopa monnieri and Ginkgo biloba on cognitive functions: A systematic review and netwo,2026
Бакопа,24252493,Meta-analysis of randomized controlled trials on cognitive effects of Bacopa monnieri extract.,2014
Гинкго,41678913,Comparative effects of Bacopa monnieri and Ginkgo biloba on cognitive functions: A systematic review and netwo,2026
Гинкго,41641880,Ginkgo biloba for cognitive impairment and dementia.,2026
Ашваганда,36017529,Does Ashwagandha supplementation have a beneficial effect on the management of anxiety and stress? A systemati,2022
Фосфатидилсерин,33539192,Phosphatidylserine for the Treatment of Pediatric Attention-Deficit/Hyperactivity Disorder: A Systematic Revie,2021
Куркумин,40813857,The effect of turmeric/curcumin supplementation on anthropometric indices in subjects with prediabetes and typ,2025
Ресвератрол,41987155,Effects of resveratrol supplementation on multiple health outcomes: an umbrella review of systematic reviews a,2026
Цинк,42280439,"Essential Trace Elements Zinc, Iron, Copper and Attention-Deficit/Hyperactivity Disorder in Children and Adole",2026
Таурин,41803812,Taurine supplementation as a therapeutic strategy for cellular senescence and chronic inflammation in long COV,2026
Таурин,41032459,Caffeine and taurine: a systematic review and network meta-analysis of their individual and combined effects o,2025
CoQ10,38630421,Effect of Coenzyme Q10 Supplementation on Vascular Endothelial Function: A Systematic Review and Meta-Analysis,2024
Готу кола,28878245,Effects of Centella asiatica (L.) Urb. on cognitive function and mood related outcomes: A Systematic Review an,2017
